"X","group","key","count"
336,"ASO_GF","Gene_336",0
337,"ASO_GF","Gene_337",2.7224
338,"ASO_GF","Gene_338",0
339,"ASO_GF","Gene_339",0
340,"ASO_GF","Gene_340",0
341,"ASO_GF","Gene_341",0
342,"ASO_GF","Gene_342",0
343,"ASO_GF","Gene_343",0
344,"ASO_GF","Gene_344",0
345,"ASO_GF","Gene_345",0
346,"ASO_GF","Gene_346",0
347,"ASO_GF","Gene_347",0
348,"ASO_GF","Gene_348",0
349,"ASO_GF","Gene_349",0
350,"ASO_GF","Gene_350",2.35417
351,"ASO_GF","Gene_351",0
352,"ASO_GF","Gene_352",0
353,"ASO_GF","Gene_353",0
354,"ASO_GF","Gene_354",0
355,"ASO_GF","Gene_355",0
356,"ASO_GF","Gene_356",0
357,"ASO_GF","Gene_357",0
358,"ASO_GF","Gene_358",0
359,"ASO_GF","Gene_359",0
360,"ASO_GF","Gene_360",0
361,"ASO_GF","Gene_361",0
362,"ASO_GF","Gene_362",0
363,"ASO_GF","Gene_363",0
364,"ASO_GF","Gene_364",0
365,"ASO_GF","Gene_365",0
366,"ASO_GF","Gene_366",0
367,"ASO_GF","Gene_367",0
368,"ASO_GF","Gene_368",0
369,"ASO_GF","Gene_369",0
370,"ASO_GF","Gene_370",1.871085
371,"ASO_GF","Gene_371",0
372,"ASO_GF","Gene_372",0.335284
373,"ASO_GF","Gene_373",0
374,"ASO_GF","Gene_374",0
375,"ASO_GF","Gene_375",0
376,"ASO_GF","Gene_376",0
377,"ASO_GF","Gene_377",10.65565
378,"ASO_GF","Gene_378",7.047555
379,"ASO_GF","Gene_379",1.780645
380,"ASO_GF","Gene_380",0
381,"ASO_GF","Gene_381",0
382,"ASO_GF","Gene_382",0
383,"ASO_GF","Gene_383",0
384,"ASO_GF","Gene_384",0
385,"ASO_GF","Gene_385",0
386,"ASO_GF","Gene_386",0.504174
387,"ASO_GF","Gene_387",2.54248
388,"ASO_GF","Gene_388",2.567875
389,"ASO_GF","Gene_389",0
390,"ASO_GF","Gene_390",0
391,"ASO_GF","Gene_391",0
392,"ASO_GF","Gene_392",0
393,"ASO_GF","Gene_393",0
394,"ASO_GF","Gene_394",1.7231
395,"ASO_GF","Gene_395",0
396,"ASO_GF","Gene_396",0
397,"ASO_GF","Gene_397",1.073448
398,"ASO_GF","Gene_398",5.63101
399,"ASO_GF","Gene_399",0
400,"ASO_GF","Gene_400",0
401,"ASO_GF","Gene_401",0.51697
402,"ASO_GF","Gene_402",0
403,"ASO_GF","Gene_403",2.89361
404,"ASO_GF","Gene_404",0
405,"ASO_GF","Gene_405",0
406,"ASO_GF","Gene_406",0
407,"ASO_GF","Gene_407",0
408,"ASO_GF","Gene_408",0
409,"ASO_GF","Gene_409",0
410,"ASO_GF","Gene_410",0
411,"ASO_GF","Gene_411",0
412,"ASO_GF","Gene_412",0.6027115
413,"ASO_GF","Gene_413",0
414,"ASO_GF","Gene_414",0.237886
415,"ASO_GF","Gene_415",0
416,"ASO_GF","Gene_416",0
417,"ASO_GF","Gene_417",0
418,"ASO_GF","Gene_418",0.154208
419,"ASO_GF","Gene_419",0
420,"ASO_GF","Gene_420",0
421,"ASO_GF","Gene_421",0.7079895
422,"ASO_GF","Gene_422",0
423,"ASO_GF","Gene_423",0.924722
424,"ASO_GF","Gene_424",46.74565
425,"ASO_GF","Gene_425",0
426,"ASO_GF","Gene_426",0
427,"ASO_GF","Gene_427",0
428,"ASO_GF","Gene_428",0
429,"ASO_GF","Gene_429",3.185075
430,"ASO_GF","Gene_430",0
431,"ASO_GF","Gene_431",0
432,"ASO_GF","Gene_432",0
433,"ASO_GF","Gene_433",0
434,"ASO_GF","Gene_434",0
435,"ASO_GF","Gene_435",0
436,"ASO_GF","Gene_436",0
437,"ASO_GF","Gene_437",0.1107895
438,"ASO_GF","Gene_438",0
439,"ASO_GF","Gene_439",0
440,"ASO_GF","Gene_440",0
441,"ASO_GF","Gene_441",1.1174225
442,"ASO_GF","Gene_442",0
443,"ASO_GF","Gene_443",4.316455
444,"ASO_GF","Gene_444",0
445,"ASO_GF","Gene_445",7.45662
446,"ASO_GF","Gene_446",0
447,"ASO_GF","Gene_447",0
448,"ASO_GF","Gene_448",0
449,"ASO_GF","Gene_449",0
450,"ASO_GF","Gene_450",0
451,"ASO_GF","Gene_451",0
452,"ASO_GF","Gene_452",0
453,"ASO_GF","Gene_453",0
454,"ASO_GF","Gene_454",0
455,"ASO_GF","Gene_455",0
456,"ASO_GF","Gene_456",0
457,"ASO_GF","Gene_457",0
458,"ASO_GF","Gene_458",34.5741
459,"ASO_GF","Gene_459",0
460,"ASO_GF","Gene_460",0
461,"ASO_GF","Gene_461",0.8838985
462,"ASO_GF","Gene_462",0.243645
463,"ASO_GF","Gene_463",0.189494
464,"ASO_GF","Gene_464",0
465,"ASO_GF","Gene_465",0
466,"ASO_GF","Gene_466",5.933545
467,"ASO_GF","Gene_467",0.8526235
468,"ASO_GF","Gene_468",0
469,"ASO_GF","Gene_469",0
470,"ASO_GF","Gene_470",1.0545895
471,"ASO_GF","Gene_471",1.264793
472,"ASO_GF","Gene_472",322.608
473,"ASO_GF","Gene_473",0.620488
474,"ASO_GF","Gene_474",1.79398
475,"ASO_GF","Gene_475",4.54529
476,"ASO_GF","Gene_476",7.086115
477,"ASO_GF","Gene_477",0.447888
478,"ASO_GF","Gene_478",0
479,"ASO_GF","Gene_479",73.0357
480,"ASO_GF","Gene_480",0
481,"ASO_GF","Gene_481",3.6439
482,"ASO_GF","Gene_482",6.08421
483,"ASO_GF","Gene_483",170.622
484,"ASO_GF","Gene_484",1.158315
485,"ASO_GF","Gene_485",0
486,"ASO_GF","Gene_486",0
487,"ASO_GF","Gene_487",1.452955
488,"ASO_GF","Gene_488",12.11565
489,"ASO_GF","Gene_489",0
490,"ASO_GF","Gene_490",0.6687375
491,"ASO_GF","Gene_491",0
492,"ASO_GF","Gene_492",0.3605695
493,"ASO_GF","Gene_493",0
494,"ASO_GF","Gene_494",4.69782
495,"ASO_GF","Gene_495",0
496,"ASO_GF","Gene_496",0
497,"ASO_GF","Gene_497",0
498,"ASO_GF","Gene_498",0
499,"ASO_GF","Gene_499",0
500,"ASO_GF","Gene_500",10.37307
501,"ASO_GF","Gene_501",0.7813635
502,"ASO_GF","Gene_502",0
503,"ASO_GF","Gene_503",0
504,"ASO_GF","Gene_504",1114.555
505,"ASO_GF","Gene_505",0
506,"ASO_GF","Gene_506",6.08754
507,"ASO_GF","Gene_507",0
508,"ASO_GF","Gene_508",10.8701
509,"ASO_GF","Gene_509",1.966665
510,"ASO_GF","Gene_510",65.59485
511,"ASO_GF","Gene_511",13.40805
512,"ASO_GF","Gene_512",0
513,"ASO_GF","Gene_513",0
514,"ASO_GF","Gene_514",5.68273
515,"ASO_GF","Gene_515",21.95035
516,"ASO_GF","Gene_516",0
517,"ASO_GF","Gene_517",0
518,"ASO_GF","Gene_518",0
519,"ASO_GF","Gene_519",0
520,"ASO_GF","Gene_520",20.01655
521,"ASO_GF","Gene_521",2.214195
522,"ASO_GF","Gene_522",2.033225
523,"ASO_GF","Gene_523",31.6668
524,"ASO_GF","Gene_524",5.08988
525,"ASO_GF","Gene_525",0
526,"ASO_GF","Gene_526",9.538335
527,"ASO_GF","Gene_527",0
528,"ASO_GF","Gene_528",0.764498
529,"ASO_GF","Gene_529",1.680355
530,"ASO_GF","Gene_530",0
531,"ASO_GF","Gene_531",19.81315
532,"ASO_GF","Gene_532",2.39736
533,"ASO_GF","Gene_533",0
534,"ASO_GF","Gene_534",0
535,"ASO_GF","Gene_535",0
536,"ASO_GF","Gene_536",0
537,"ASO_GF","Gene_537",0
538,"ASO_GF","Gene_538",0
539,"ASO_GF","Gene_539",0
540,"ASO_GF","Gene_540",0
541,"ASO_GF","Gene_541",0
542,"ASO_GF","Gene_542",45.1742
543,"ASO_GF","Gene_543",0
544,"ASO_GF","Gene_544",0
545,"ASO_GF","Gene_545",0
546,"ASO_GF","Gene_546",0.156388
547,"ASO_GF","Gene_547",0
548,"ASO_GF","Gene_548",0
549,"ASO_GF","Gene_549",0
550,"ASO_GF","Gene_550",0
551,"ASO_GF","Gene_551",0
552,"ASO_GF","Gene_552",0
553,"ASO_GF","Gene_553",27.0303
554,"ASO_GF","Gene_554",14.3489
555,"ASO_GF","Gene_555",0
556,"ASO_GF","Gene_556",28.68235
557,"ASO_GF","Gene_557",4.861135
558,"ASO_GF","Gene_558",0.3460515
559,"ASO_GF","Gene_559",0
560,"ASO_GF","Gene_560",0
561,"ASO_GF","Gene_561",0
562,"ASO_GF","Gene_562",1.96068
563,"ASO_GF","Gene_563",5.51681
564,"ASO_GF","Gene_564",0
565,"ASO_GF","Gene_565",0.800718
566,"ASO_GF","Gene_566",9.972505
567,"ASO_GF","Gene_567",0
568,"ASO_GF","Gene_568",0.8625675
569,"ASO_GF","Gene_569",0
570,"ASO_GF","Gene_570",4.360495
571,"ASO_GF","Gene_571",60.82635
572,"ASO_GF","Gene_572",2.95867
573,"ASO_GF","Gene_573",3.49966
574,"ASO_GF","Gene_574",1.12714
575,"ASO_GF","Gene_575",0
576,"ASO_GF","Gene_576",0
577,"ASO_GF","Gene_577",12.0483
578,"ASO_GF","Gene_578",2.32e-26
579,"ASO_GF","Gene_579",11.549
580,"ASO_GF","Gene_580",0
581,"ASO_GF","Gene_581",0
582,"ASO_GF","Gene_582",4.179815
583,"ASO_GF","Gene_583",0
584,"ASO_GF","Gene_584",18.4548
585,"ASO_GF","Gene_585",0
586,"ASO_GF","Gene_586",0
587,"ASO_GF","Gene_587",1.477775
588,"ASO_GF","Gene_588",0.7399185
589,"ASO_GF","Gene_589",0
590,"ASO_GF","Gene_590",0.205577
591,"ASO_GF","Gene_591",8.89129
592,"ASO_GF","Gene_592",0
593,"ASO_GF","Gene_593",0
594,"ASO_GF","Gene_594",0
595,"ASO_GF","Gene_595",13.3959
596,"ASO_GF","Gene_596",0
597,"ASO_GF","Gene_597",8.44736
598,"ASO_GF","Gene_598",0.3348805
599,"ASO_GF","Gene_599",0.472562
600,"ASO_GF","Gene_600",162.489
601,"ASO_GF","Gene_601",0
602,"ASO_GF","Gene_602",91.5148
603,"ASO_GF","Gene_603",7.21061
604,"ASO_GF","Gene_604",0
605,"ASO_GF","Gene_605",1.33228
606,"ASO_GF","Gene_606",0
607,"ASO_GF","Gene_607",1.59829
608,"ASO_GF","Gene_608",0
